date,datetime_utc,id,latitude,longitude,temperature_celsius,pressure_mb,wind_u,wind_v,NO2,CO,O3,AOD,sensor_name,building_density,road_density_km,industrial_presence,green_space_fraction,relative_humidity,wilaya,Prediction
2026-05-17,,1,27.060146,7.995439,18.57294998168948,964.4665291341148,,,5.712596250419505e-05,,0.1373321455004971,,Unknown,0,0.0,0,0,32.153069652055294,Illizi,602.9039306640625
2026-05-17,,1,19.975906,3.413066,25.28071365356448,947.223612467448,,,4.588167684827544e-05,,0.1216878586099568,,Unknown,0,0.0,0,0,10.296755698068662,In Guezzam,569.9188842773438
2026-05-17,,1,26.785714,2.810239,22.58816808064782,986.4129874674478,,,4.978714680108485e-05,,0.1330193271315259,,Unknown,0,0.0,0,0,24.698246903954967,In Salah,635.0174560546875
2026-05-17,,1,36.801588,5.735073,-10272.15,-99.99,,,8.229502722457501e-05,,0.1494177613715808,,Unknown,4446,237.2973296079448,3,0,100.0,Jijel,592.6719360351562
2026-05-17,,1,35.118442,6.951571,11.14773839314779,908.8279874674478,,,6.466996691209137e-05,,0.1472566132419545,,Unknown,0,17.71461226957122,0,0,64.15786122388695,Khenchela,586.591552734375
2026-05-17,,1,33.764999,2.453376,14.377637481689476,915.2565291341148,,,5.52147920235936e-05,,0.1423845661088199,,Unknown,0,0.0,0,0,46.71882719850996,Laghouat,589.2828369140625
2026-05-17,,1,35.410318,4.341261,15.43545811971029,964.9725708007812,,,6.36424218988643e-05,,0.1461485566421256,,Unknown,2,53.68603274464468,0,0,57.60929303168936,M'Sila,592.9486694335938
2026-05-17,,1,35.398947,0.14997,15.962639109293631,960.417362467448,,,7.119519030459036e-05,,0.1450448388464762,,Unknown,504,394.028434245365,2,0,71.16657721754515,Mascara,595.7919921875
2026-05-17,,1,36.093798,2.975028,13.315788523356131,921.275487467448,,,7.062682783223483e-05,,0.1463172605369844,,Unknown,7,250.6288621984888,0,0,68.8207876210439,Medea,595.0055541992188
2026-05-17,,1,36.32801,6.15842,13.053052520751976,942.964862467448,,,6.634055386509489e-05,,0.146842412720101,,Unknown,0,3.2719036049322145,0,2,67.74767557350373,Mila,577.5946655273438
2026-05-17,,1,36.019815,0.276988,16.454907989501976,1005.1594458007812,,,6.977938610599677e-05,,0.1487880113451897,,Unknown,1,99.20899123015217,0,0,84.84780203465355,Mostaganem,563.4923706054688
2026-05-17,,1,33.36955,-0.974951,14.83275629679366,891.8586124674479,,,5.509403590961417e-05,,0.1417105650955664,,Unknown,0,145.75578854948367,0,0,41.88405022676987,Naama,604.0362548828125
2026-05-17,,1,35.770722,-0.701382,-10272.15,-99.99,,,7.342467316283887e-05,,0.1467939868462094,,Unknown,0,0.0,0,0,100.0,Oran,580.7722778320312
2026-05-17,,1,31.537536,5.4803,18.714470163981133,1002.2419458007812,,,6.277285895065006e-05,,0.1425031117092072,,Unknown,0,0.0,0,0,33.20003866048951,Ouargla,605.1668701171875
2026-05-17,,1,34.29179,4.623223,16.252434031168633,980.5284041341148,,,5.945327031175399e-05,,0.1458789379015422,,Unknown,0,0.0,0,0,51.6513526615901,Ouled Djellal,589.0015869140625
2026-05-17,,1,35.867292,7.094613,12.638542429606131,913.559237467448,,,8.279334387627543e-05,,0.148039478181976,,Unknown,7185,287.20237602865194,0,1007,64.62850153250588,Oum El Bouaghi,553.5006713867188
2026-05-17,,1,35.836023,0.80322,16.971306101481133,992.041112467448,,,7.398135362986813e-05,,0.1456057940534006,,Unknown,0,31.37778233871611,0,0,72.10255202129414,Relizane,584.0994262695312
