latitude,longitude,building_density,road_density_km,industrial_presence,green_space_fraction
12.1131,15.0492,24811,334.04966132061855,0,1037
12.15,-86.27,3979,342.4662119301034,5,763
12.15,24.45,0,49.06302495363342,0,0
12.1508,-86.2683,3795,334.0819791343245,4,533
12.37,-1.52,12809,333.0013318929435,6,397
12.3703,-1.5247,14635,344.15008758854094,6,1181
12.65,-8.0,16183,356.8233153059584,5,3935
13.1,-59.62,16304,252.50339487730162,0,306
13.1,-59.6167,17895,279.17107374932897,5,311
13.13,-61.22,2190,45.86995484885716,3,9
13.1333,-61.2167,3479,71.35826735226735,3,18
13.45,-16.58,3151,65.55346768907035,7,13
13.4531,-16.5775,3123,64.81368325503564,7,13
13.5167,2.1167,18341,353.8200000901873,0,493
13.52,2.12,20665,380.3926366728109,0,304
13.6667,1.7833,1,69.47202945038019,0,0
13.7086,-89.2031,3449,428.0930636241183,10,168
13.71,-89.2,3293,425.1998228063212,10,168
13.75,100.5167,16628,736.0394872214347,7,4001
13.75,100.52,14292,733.6015156072375,7,3892
14.0,-61.0,7716,166.89305077561335,3,57
14.1,-87.22,4582,410.6334146102874,9,121
14.1,-87.2167,5406,422.412786503198,10,124
14.6,120.98,32924,550.9263271386819,37,2368
14.6042,120.9822,37944,560.8381864966703,44,1554
14.62,-90.53,2196,538.1573307754074,5,84
14.6211,-90.5269,2190,533.8123514065816,5,110
14.67,-17.44,5432,242.83677042406234,11,382
14.6708,-17.4381,5471,243.22386202399989,13,387
14.93,-23.51,10550,365.4566461265336,8,2467
14.9315,-23.5125,9694,363.6285085606153,7,2092
15.3,-61.4,3763,59.09544980304806,3,33
15.33,38.93,2712,418.8487738331745,6,154
15.3333,38.9333,2693,433.6498515231975,5,146
15.35,44.21,1988,446.57180165050517,1,2
15.3547,44.2067,1757,452.92248837534305,1,3
15.5881,32.5342,15846,443.1734226659159,1,274
15.59,32.53,14435,445.89110223868613,1,273
16.78,94.73,18989,222.9330446133024,0,28
16.78,96.17,5519,328.15491592240346,24,20
16.7833,96.1667,6868,365.87673330604156,23,30
17.1167,-61.85,11276,254.18406727612188,2,33
17.12,-61.85,11005,254.97925750377635,2,33
17.25,-88.77,6684,248.75787114437554,4,27
17.25,-88.7667,6931,255.75204685358136,4,25
17.3,-62.72,5872,202.66357468755885,17,33
17.3,-62.7167,5363,196.4686854091593,16,33
17.93,-76.85,387,20.60855749123708,0,2
17.9333,-76.85,387,20.60855749123708,0,2
17.97,-76.75,5969,106.39724852730662,6,15
17.97,102.6,8828,361.27299022527194,0,464
18.0,-76.8,22420,345.2414990753457,4,123
18.0864,-15.9753,14881,432.70315619952487,4,92
18.09,-15.98,12665,411.68470036310725,3,86
18.4667,-69.9,3744,325.65956545807563,5,250
18.47,-69.9,4217,362.06000417469875,5,255
18.5392,-72.335,27535,341.78319548318893,11,368
18.54,-72.34,32678,325.30310544093606,10,369
18.78,100.78,231,298.9927949093725,0,16
18.7833,100.7833,196,295.02823904010825,0,10
19.4285,-99.1277,11812,587.0523312462999,31,1519
19.43,-99.13,12038,579.1414531203926,31,1476
21.03,105.85,16836,643.8495123500238,4,3080
21.0333,105.85,14963,618.1441705833265,3,3062
21.13,104.7,0,35.60569516619061,0,0
21.1333,104.7,0,35.603164384061316,0,0
23.13,-82.36,12843,383.32286087350707,86,792
23.1319,-82.3642,13746,406.81840339712227,79,948
23.61,58.59,220,75.09893155039201,2,10
23.6133,58.5933,207,69.44118874555527,0,9
23.72,90.41,39671,438.6296301793226,6,1555
23.7231,90.4086,36520,437.8203140349049,7,2067
24.4667,54.3667,5566,648.9312623905284,0,552
24.47,54.37,5429,620.0045096103604,0,541
24.64,46.77,134,471.75048931730396,5,0
24.6408,46.7728,138,473.75902989869917,4,0
